English,urdu
Afsar,افسر
Afsaruddin,افسردین
Afser,افسر
Afshar,افشار
Afsheen,افشین
Afshiin,افشین
Afshin,افشین
Afta,افتا
Aftab,آفتاب
Aftabuddin,آفتابدین
Aftar,أفطر
Aftekhar,افتخار
Afuvv,عفو
Afuww,عفو
Afzaal,افضال
Afzal,افضل
Agha,آغا
Aghar,آغر
Agharr,اغہار
Aghlab,اغہلاب
Ahad,احد
Ahadiyah,عہادیہ
Ahbab,احباب
Ahbar,احبار
Ahbdil,احبدل
Ahda,احدا
Ahdaf,أہداف
Ahdi,احدی
Ahdii,احدی
Ahfaaz,احفاظ
Ahil,آہل
Ahjaz,احجاز
Ahkam,احکم
Ahmad,احمد
Ahmadullah,احمداللہ
Ahmar,احمر
Ahmed,احمد
Ahmer,احمر
Ahnaf,احنف
Ahoor,احور
Ahraad,احراد
Ahsa,احسا
Ahsab,احسب
Ahsaf,احسف
Ahsan,احسن
Ahsant,احسنت
Ahsen,احسن
Ahsham,احشم
Ahtesham,احشتام
Ahtisham,احتشام
Ahtzar,احتضار
Ahyan,احیان
Ahzab,احزاب
Ahzam,احزم
Aibak,ایبک
Aid,عائد
Aiden,آئیدان
Aidh,ایدہ
Aidmeer,آئیدمیر
Aidon,آئیدون
Aiesh,عائش
Aijaan,آئیجان
Aikat,آئے کت
Ail,عائل
Ailaf,ایلاف
Ailiya,عالیہ
Aini,آئنی
Ainullah,عین اللہ
Aiqan,ایقان
Aiqaz,ایقاض
Aique,عائقی
Aiqunah,آیقنہ
Airaas,اعراس
Airad,ایراد
Airas,اعراس
Airkan,ایرکن
Ais,عیث
Aisa,ایسا
Aisaa,ایسا
Aish,ایش
Aissa,عیسی
Aitmaad,اعتماد
Aiz,ایز
Ajaam,عجام
Ajab,عجب
Ajald,اجلد
Ajam,اجام
Ajda,اجدا
Ajdal,اجدال
Ajeeb,عجیب
Ajeel,عجیل
Ajer,اجر
Ajf,عجف
Ajib,عجیب
Ajiel,عجیل
Ajif,عجف
Ajij,اجیج
Ajil,عاجل
Ajim,اجیم
Ajir,آجر
Ajiz,عاجز
Ajjmal,اجمل
Ajlaal,اجلال
Ajlaan,عجلان
Ajlan,عجلان
Ajmaal,اجمال
Ajmal,اجمل
Ajmar,اجمر
Ajmel,اجمیل
Ajnabi,اجنبی
Ajnabii,اجنبی
Ajnat,اجنت
Ajtaba,جتبا
Ajubah,عجوبہ
Ajurrum,اجُرُم
Ajvad,اجود
Ajwaad,اجواد
Ajwad,اجود
Ajzal,اجزل
Akal,عقل
Akaram,اکارم
Akarim,آ کریم
Akarma,عکرمہ
Akas,آکاس
Akbar,اکبر
Akbar Nawaz,اکبر نواز
Akeem,اقیم
Akfah,اکفح
Akfash,اکفاش
Akhangal,اخانغل
Akhas,آخاص
Akhber,اخبر
Akhdan,أخدان
Akhfash,اخفاش
Akhgar,اخگر
Akhger,اخگر
Akhi,آخی
Akhil,آخیل
Akhir,آخر
Akhkaz,اخکاض
Akhla,اخلا
Akhlaaq,اخلاق
Akhlaq,اخلاق
Akhmas,اخماس
Akhraj,اخراج
Akhram,اخرم
Akhsam,اخسم
Akhtar,اختر
Akhter,اختر
Akhund,اخوند
Akhundzada,اخندزدا
Akhuwat,اخوت
Akhuwwat,اخوت
Akhwanzada,اخونزادہ
Akhyar,اخیار
Akhzam,اخزم
Akhzar,اخزر
Akhzir,اخضر
Akid,اکید
Akif,عاکف
Akil,اکیل
Akili,اکیلی
Akkaas,عکاس
Akkah,عکہ
Akkas,عکاس
Aklaf,اکلاف
Akmad,اکمد
Akmal,اکمل
Akraam,اکرام
Akram,اکرم
Akramm,اکرم
Akwan,اکون
Al,ال
Al Abbas,ال عباس
Al Amin,ال امین
Al Burhan,ال برہان
Al Faiz,ال فیض
Al Jalil,الجلیل
Al Rafi,ال رفیع
Al Safi,ال صفی
Al Siddiq,ال صادق
Al Tahir,ال طاہر
Al Tayyib,ال طیب
Al Yasa,الیاسا
Ala,اعلٰی
Ala Al Din,اعلی الدین
Ala Ud Din,اعلی اُدین
Ala-Ud-Din,علاؤالدین
Alaa,علا
Alaaldin,اللدین
Alaaudin,علاؤالدین
Alab,آلب
Alabbas,العباس
Aladdin,الادین
Alaf,علف
Alagh,الغ
Alai,علیہ
Alalim,العالم
Alam,عالم
Alamat,علامت
Alamgir,عالمگیر
Alamulhuda,الملحدہ
Alamzeb,المذیب
Alanda,الندا
Alap,الپ
Alauddin,علاؤالدین
Alaudin,علاؤالدین
Alban,البان
Albara,البارا
Alborz,البُرز
Alddin,الدین
Aleem,علیم
Aleem Ul Huda,علیم ال ہدا
Aleemuddin,العمودین
Alf,علف
Alhadi,الہادی
Alhafeez,الحفیظ
Alhakam,الحکم
Alhan,الہان
Alhaq,الحق
Alharith,الحارث
Alhasan,الحسن
Alhazar,الحذر
Alhusain,الحسین
Alhusayn,الحسین
Ali,علی
Ali Dad,علی داد
Ali Raza,علی رضا
Alif,الف
Alih,الیح
Alii,علی
Alim,عالم
Aliq,علیق
Aliyy,الی
Aljaleel,الجلیل
Alkar,الکر
Alkhaaliq,الخالق
Alkhaliq,الخالق
Alko,الکو
Allaaf,علاف
Allaam,علام
Allaami,علامی
Allaf,علاف
Allah Bakhsh,اللہ بخش
Allah Rakha,اللہ رکھا
Allal,اللال
Allam,علام
Allama,علامہ
Allami,علامی
Allauddin,علاؤالدین
Almahdi,المحدی
Alman,المان
Almir,المیر
Alp,الپ
Alparslan,البارسلا
Alsafi,السافی
Altaaf,الطاف
Altaam,التام
Altaf,الطاف
Altair,الطیر
Altamash,التمش
Altamesh,التمش
Altamish,الطماش
Altayyib,الطیب
Altef,الطف
Altifaat,التفات
Altijani,التیجانی
Altin,التین
Altufail,التفعیل
Aluf,الُف
Aluk,الُک
Alva,الوا
Alvaaz,الواز
Alvan,الوان
Alvand,الوند
Alwaaz,الواز
Alwan,علوان
Alwaz,الواز
Aly,اعلے
Amaad,عماد
Amaal,آمال
Amaamah,عمامہ
Amaan,امان
Amaanat,امانت
Amaar,عمار
Amaas,عماس
Amad,عماد
Amadi,عمادی
Amaer,عمیر
Amahl,اماہل
Amail,امیل
Amal,عمل
Amam,امام
Aman,امان
Amanat,امانت
Amanuddin,منددین
Amanullah,امان اللہ
Amar,امر
Amarat,عمارت
Amash,عمش
Amat,عمات
Amatullah,عمات اللہ
Amazir,اماظر
Amd,امد
Amdad,امداد
Amdat,امدات
Ameed,عمید
Ameem,عمیم
Ameen,امین
Ameeq,عمیق
Ameer,امیر
Ameer Hassan,امیر حسن
Ameerjama,امیر جامہ
Amer,امر
Amerulla,مریول
Amid,عمید
Amiduddawlah,امعدودولہ
Amiid,عمید
Amil,عامل
Amim,عمیم
Amin,امین
Amin Ameen,امین امین
Amine,امینی
Aminuddin,منددین
Amiq,عمیق
Amir,عامر
Amiri,امیری
Amjad,امجد
Ammaan,عمان
Ammaar,عمار
Ammad,عماد
Ammamah,عمامہ
Amman,عمان
Ammar,عمار
Ammeer,امیر
Ammir,آمر
Ammo,عمو
Ammu,عمو
Amn,امن
Amon,آموں
Amool,عمول
Amoon,آمون
Amoor,عمور
Amoozgar,آموزگار
Amoz,آموز
Amozgar,آموزگار
Amparatur,آمپاراتر
Amr,امر
Amro,عمرو
Amrullah,امرلله
Amud,امُد
Amul,عمول
Amun,امُن
Anaabat,انابت
Anaadil,عنادل
Anaaq,عناق
Anaayat,عنایت
Anabat,انابت
Anadil,عنادل
Anaq,عناق
Anas,انس
Anasah,أنساه
Anayat,عنایت
Anber,عنبر
Anbisat,انبساط
Andal,عندل
Andam,أندم
Andary,آندرے
Aneed,عنید
Aneef,عنیف
Aneen,انین
Aneq,آنق
Anfas,عنفاص
Angar,عنجر
Anhazrat,آنحضرت
Anid,عنید
Anif,عنیف
Aniif,عنیف
Aniq,انیق
Anis,آنیس
Anjab,انجب
Anjam,انجم
Anjeb,انجب
Anjeel,انجیل
Anjil,انجیل
Anjjum,انجم
Anjnab,آنجناب
Annees,انیس
Annwaar,انوار
Annwar,انور
Anoop,انوپ
Anq,آنق
Ans,انس
Ansab,انسب
Ansar,انصر
Anser,عنصر
Anshaad,انشاد
Ansur,انصار
Antar,عنطر
Antarah,انترہ
Anup,انوپ
Anwaaz,انواز
Anwarussadat,انورسداۃ
Anwaz,انواز
Anzaal,انزال
Anzaam,انظام
Anzaar,انظار
Anzam,انظام
Anzar,عنضر
Aoj,اوج
Aoon,عون
Aoud,اؤد
Aoun,عون
Aous,اوس
Aousaaf,اوصاف
Aousaf,اوصاف
Apporap,اپورپ
Aqa,آقا
Aqaamat,اقامت
Aqal,عقل
Aqamat,اقامت
Aqasi,آقاسی
Aqbal,اقبال
Aqdaar,اقدار
Aqdam,اقدم
Aqdas,اقدس
Aqdass,اقدس
Aqeeb,عقیب
Aqeed,عقید
Aqeel,عقیل
Aqeeq,عقیق
Aqeil,عقیل
Aqel,عقیل
Aqib,عاقب
Aqid,عاقد
Aqidah,عقیدہ
Aqiil,عقیل
Aqil,عاقل
Aqilah,عقیلہ
Aqiq,عقیق
Aqir,عاقر
Aqish,اقش
Aql,عقل
Aqmaar,اقمار
Aqqaad,عقاد
Aqrab,عقرب
Aqtaab,اقطاب
Aqul,اقُل
Aqwa,اقوا
Ara,عرا
Arab,عرب
Arabi,عربی
Arabii,عربی
Arad,ارد
Arafat,عرافات
Araib,اریب
Araiz,آریز
Aram Jaan,آرام جان
Aran,ارن
Arang,ارنگ
Arashah,اراشہ
Arashk,ارشک
Arasto,ارسطو
Arastoo,ارسطو
Araysh,عریش
Arbaan,عربان
Arbaaz,ارباز
Arbab,ارباب
Arbad,اربد
Arban,عربان
Arda,اردہ
Ardaan,اردعان
Ardalan,اردلان
Ardam,ردم
Ardaz,اردز
Ardeen,اردین
Ardeshir,اردیشر
Ardil,اردل
Ardin,اردین
Ardoon,عردون
Ardsher,ارشیر
Ardun,عردون
Areeb,اریب
Areef,عریف
Areel,اریل
Areen,عرین
Arees,عریس
Areesh,عریش
Areez,عریض
Aref,عارف
Arem,عارم
Arfaan,عرفان
Arfaat,عرفات
Arfan,عرفان
Arfat,عرفات
Arfeen,عارفین
Arghwaan,ارغوان
Arghwan,ارغوان
Arhaam,ارحام
Arham,ارحم
Aria,عریہ
Arib,آرب
Arid Sher,آرد شیر
Arief,عارف
Arif,عارف
Arifain,عارفین
Arifin,عارفین
Ariis,عریس
Ariiz,عریض
Arin,عرین
Ariq,آرق
Aris,عریس
Arish,عریش
Aristotle,ارسطو
Ariz,عریض
Arizm,آرزم
Arjal,ارجل
Arjamand,ارجمند
Arjan,ارجن
Arjat,عرجت
Arjet,عرجت
Arjmand,ارجمند
Arjmend,ارجمند
Arjomand,ارجُمند
Arjumand,ارجمند
Arkaan,ارکان
Arkan,ارکان
Arkhun,ارخُن
Armaan,ارمان
Armaghan,ارمغان
Armidah,آرمیدہ
Armiya,ارمیا
Armoun,ارمون
Armughaan,ارمغان
Armughan,ارمغان
Armun,ارمون
Armzaan,ارمضان
Aron,ارون
Aroof,عروف
Arooz,عروض
Arpan,آرپن
Arqam,ارقم
Arrees,عریس
Arrshaq,ارشق
Arsaal,ارسال
Arsal,ارسل
Arsalaan,ارسلان
Arsalan,ارسلان
Arsam,عرصم
Arsee,ارصی
Arsel,ارسل
Arselan,ارسلان
Arshaad,ارشاد
Arshad,ارشد
Arshama,عرشما
Arshaq,ارشق
Arshasb,ارشاسب
Arshavant,ارشاوانت
Arshd,ارشد
Arshed,ارشد
Arsheq,ارشق
Arshman,عرشمان
Arshtkaesha,ارشتکیشہ
Arsia,ارسیہ
Arslaan,ارسلان
Arslan,ارسلان
Arsul,ارسُل
Artadukht,آرتدخت
Artakh,ارتاخ
Artash,ارتاش
Artay,ارتے
Arteshtar,ارتیشتر
Artin,عرتن
Aruf,عروف
Arufah,عروفہ
Aruuz,عروض
Aruz,اروز
Arvin,عروین
Arwah,اروه
Arya,عریا
Aryabod,عریابود
Aryamanesh,عریامنیش
Aryana,ارینانہ
Aryano,ارینو
Aryaramna,اریارمنا
Arzab,ارزاب
Arzam,آرزم
Arzanik,ارزانک
Arzaq,ارزاق
Arzem,عرزم
Arzhan,ارزہن
Arzhang,ارژنگ
Arzheng,ارژنگ
As'ad,اسعد
Asa-ad,اسعد
Asaad,اسعد
Asaaf,اسعاف
Asaal,آصال
Asaar,آثآر
Asaber,عسابر
Asabir,عسابر
Asad,اسد
Asadel,عصادیل
Asadi,اسادی
Asadullah,اسد اللہ
Asaf,آصف
Asaf Ud Daulah,آصف اُدولہ
Asal,اصل
Asali,اصالی
Asam,اعصام
Asam,آثم
Asanghar,اصنغار
Asaqal,اثاقل
Asar,عصر
Asarat,اصارت
Asatoh,استوہ
Asbaat,اسباط
Asbagh,أصباغ
Asbar,ابصار
Asbat,اصبت
Asdaaf,اصداف
Asdaf,اصداف
Asdar,اژدار
Aseeb,عصیب
Aseef,عصیف
Aseel,اسیل
Aseel,اثیل
Aseem,عصیم
Aseer,اصیر
Asef,اصیف
Asej,اسیج
Asel,عاسل
Asem,عاثم
Asfah,اصفاح
Asfand,اسفند
Asfand Yar,اسفند یار
Asfour,اسفور
Asgar,اصغر
Asghaar,اسغار
Asghar,اصغر
Asgher,اصغر
Ashaab,اسہاب
Ashaaf,اشعاف
Ashaarab,عشارب
Ashaas,اشاص
Ashaath,اشاتھ
Ashab,عشب
Ashaj,اشج
Asham,آشام
Ashaojah,اشوجہ
Ashar,اشعر
Asharab,عشارب
Asharat,اشارت
Ashavant,اشوانت
Ashavasta,اشوستا
Ashazzam,اشازم
Ashbaal,اشبال
Ashbal,اشبل
Asheeq,عشیق
Asheera,عشیرہ
Asheerah,عشیرہ
Asher,اسحر
Ashfaaq,اشفاق
Ashfaq,اشفاق
Ashhal,اشہل
Ashhar,عشر
Ashher,اشہر
Ashhub,اشہب
Ashib,آشب
Ashier,عشیر
Ashiq,عاشق
Ashiqi,عاشقی
Ashir,عاشر
Ashja,اشجا
Ashkama,اشکاما
Ashkan,اشکن
Ashmal,اشمل
Ashnad,اشناد
Ashob,عشوب
Ashour,أشور
Ashqar,اشقار
Ashraaf,اشراف
Ashraf,اشرف
Ashrafi,اشرافی
Ashrafus Sadat,اشرفوس سعادت
Ashrat,عشرت
Ashref,اشرف
Ashrf,اشرف
Ashshaq,عششق
Ashta,اشتا
Ashtag,اشتگ
Ashtak,اشتک
Ashura,عشورہ
Ashwahisht,اشوہشت
Ashwas,اشواس
Asi,آسی
Asib,عصیب
Asif,آصف
Asiim,عاصم
Asil,اصیل
Asim,عاصم
Asir,اصیر
Asiruddin,اسردین
Asjal,اسجل
Askandar,اسکندر
Askar,عسکر
Askari,عسکری
Asker,عسکر
Askhi,اسخی
Asl,اصل
Aslakan,اصلاکان
Aslam,اسلم
Aslan,اسلان
Asliraf,اسلیرف
Aslob,اسلوب
Asloob,اسلوب
Asluub,اسلوب
Asmaar,اسمار
Asmad,اصمد
Asnad,اسناد
Asnan,اثنان
Asneen,اثنین
Asnud,اصنُد
Asooda,اسودا
Asp,یسپ
Aspayaodha,اسپیودھا
Asqalaan,عسقلان
Asqalan,عسقلان
Asraar,اسرار
Asrad,اسراد
Asrar,اسرار
Asravak,اسرواک
Asravan,عصرون
Asriya,اسیرا
Assaar,عصار
Assam,عصام
Assar,عصار
Assem,عاصم
Assim,عاثم
Astaan,استان
Astan,آستان
Aster,اسطر
Astovidatu,استو وداتو
Astwand,اصتوند
Aswab,اصوب
Aswad,اسود
Aswar,اسوار
Asyaaf,اسیاف
Asyaf,اسیاف
Ata,عطا
Ata Al Rahman,اتا ال رحمن
Ata Allah,عطا اللہ
Ata Ul Haq,عطاء الحق
Ata-ul-Haq,عطاء الحق
Ataa,عطا
Ataabik,اتابک
Ataaf,عطاف
Ataafat,عطافت
Ataalrahman,أطالرحمان
Ataaq,عتاق
Ataba,عتبہ
Atabah,عتبہ
Atabeek,اتابیک
Atabik,اتابک
Ataf,عطاف
Atafat,عطافت
Atafet,عطافت
Atak,آتگ
Atakhsh,اتکحش
Atal,اطال
Ataleeq,اتالیق
Atallah,عطا اللہ
Atam,عاطم
Atamber,اٹمبر
Ataq,عتاق
Ataqat,عطقت
Atar,عطار
Ataredata,اترداتا
Atarevaksha,اتروکشا
Atarevanu,اتروانو
Ataro,اتارو
Atarobad,اتروباد
Atarsh,اترش
Atash,اتاش
Atash Bahram,اتاش بہرام
Atashban,عطشبان
Ataubaq,اطباق
Ataullah,عطاء اللہ
Ataur Rahman,عطا الرحمن
Ataya,عطایا
Atbah,عتبہ
Ateeb,اطیب
Ateed,عتید
Ateel,عتیل
Ateeq,عتیق
Atem,عاتم
Atfal,اطفال
Athar,اطہر
Athazaz,اطہزز
Athil,اتہیل
Athwya,اتھویا
Atid,عتید
Atif,عاطف
Atiil,عتیل
Atiiq,عتیق
Atik,عاتک
Atil,عتیل
Atin,اتن
Atiq,عتیق
Atir,اطیر
Atis,عاطس
Atisam,اعتصام
Atish,آتش
Atlas,اطلس
Atnan,عطنان
Atoof,عطوف
Atrab,عطراب
Atta Bakhsh,عطا بخش
Attaa,عطا
Attaa Bakhsh,عطا بخش
Attaar,عتار
Attaboak,اطباق
Attar,عطار
Attarat,عطارت
Atteeb,اطیب
Attehaf,اتحاف
Atu,اتو
Atuf,آتُف
Atuk,عتُک
Atus,عاطس
Aud,عود
Audad,عوداد
Auf,اُف
Aufa,اُوفا
Aufar,اوفار
Auhad,اُوحاد
Auharmazd,اوھرمذد
Auj,اوج
Aujan,اُجن
Aula,اولیٰ
Aulad,اولاد
Auliya,اولیا
Auliyaa,اولیا
Aun,عون
Aurad,اوراد
Aurang,اورنگ
Aurangzaib,اورنگزیب
Aurangzeb,اورنگ زیب
Aureng,اورنگ
Aus,عُص
Ausaaf,اوصاف
Ausaf,اوصاف
Ausaq,اوثق
Ausat,اوصت
Ausatbar,اوستبر
Autar,اُطہار
Avad,اواد
Avakhshidar,اوخشیدار
Avan,اون
Avasta,اوستہ
Avginak,آوگینک
Avik,اویک
Avir,اویر
Awaab,اواب
Awaam,عوام
Awaan,اعوان
Awaaqib,عواقب
Awaarif,عوارف
Awaatif,عواطف
Awab,اواب
Awad,اواد
Awaid,عوید
Awais,اویس
Awaiz,آویز
Awalmir,والمر
Awam,عوام
Awan,اعوان
Awanah,اعوانہ
Awaqib,عواقب
Awarif,عوارف
Awatif,عواطف
Awaz,اوز
Aweed,عوید
Awelijama,اولجما
Awiis,عویص
Awin,آِوٰن
Awj,اوج
Awn,عون
Aws,اوص
Awwad,أود
Awwal,اول
Ayaad,ایاد
Ayaal,عیال
Ayaan,ایان
Ayaas,عیاث
Ayaass,عیاث
Ayad,ایاد
Ayal,عیال
Ayan,ایان
Ayar,ایار
Ayas,عیاث
Ayaz,ایاز
Aydin,ایدین
Ayez,عائز
Ayinde,آییندے
Ayiyar,اییار
Ayiyat,اییات
Aynuddin,ایندین
Aynulhayat,اینول حیات
Aynun Naim,اینوں نعیم
Ayoub,ایوب
Ayrk,ایرک
Ayser,ایسر
Aytan,ایتن
Ayub,ایوب
Ayur,ایّور
Ayyaar,عیار
Ayyaash,عیاش
Ayyan,ایان
Ayyar,عیار
Ayyash,عیاش
Ayyaz,ایاز
Ayyooq,عیوق
Ayyub,ایوب
Ayyuq,عیوق
Aza,عضہ
Azaan,اذان
Azaar,آذار
Azab,عذاب
Azad,آزاد
Azad Ahmed,آزاد احمد
Azaf,آزف
Azahir,آزاہر
